1,798,767,859,845,977,244,454,253,752,430.151519775391,211.858581542969
2,817,496,317,955,966,924,619,173,578,636.487182617188,366.615386962891
3,982,70,984,613,403,622,494,473,448,267.154541015625,187.454544067383
4,205,112,365,892,205,131,445,454,795,285.982757568359,173.810348510742
5,131,130,256,371,695,162,876,552,837,379.151519775391,163.878784179688
6,305,747,278,348,738,344,156,281,672,427.099182128906,217.256195068359
7,109,699,492,443,678,622,101,243,931,481.724395751953,86.2677154541016
8,563,883,306,407,847,612,683,7,338,523.911315917969,233.870971679688
9,976,363,284,813,398,92,253,450,41,530.782958984375,259.496124267578
10,778,71,455,867,995,440,214,999,469,620.466003417969,330.462585449219
11,587,485,561,380,271,331,512,372,288,616.144897460938,332.332397460938
12,736,792,210,33,890,721,512,150,703,373.82568359375,271.706420898438
13,970,422,499,516,772,64,155,758,7,568.053100585938,389.256622314453
14,148,310,913,603,18,123,497,948,480,341.053771972656,205.279571533203
15,98,609,700,856,986,291,851,563,72,311.395172119141,175.903228759766
16,793,787,848,197,684,780,67,630,46,432.197906494141,282.854156494141
17,237,820,141,34,5,135,444,593,849,274.85107421875,160.946807861328
18,588,383,320,103,125,381,276,163,374,404.565216064453,100.09782409668
19,498,538,21,778,822,65,538,411,673,488.275360107422,72.6159439086914
20,627,148,606,719,601,615,653,2,282,397.479339599609,179.561981201172
21,783,902,714,893,480,966,791,974,92,361.838714599609,210.817199707031
22,307,224,569,168,140,606,508,673,312,322.148529052734,246.643569946289
23,441,442,273,730,56,110,163,538,229,465.929565429688,326.394378662109
24,747,299,691,699,164,369,665,467,288,327.521728515625,106.991302490234
25,627,660,193,400,477,941,923,111,330,427.372100830078,89.4767456054688
26,768,576,313,998,486,311,550,98,953,497.678558349609,76.0999984741211
27,234,990,493,719,412,603,555,274,51,495.354339599609,188.078735351562
28,828,537,301,621,645,65,28,442,945,392.540008544922,219.820007324219
29,531,822,654,475,179,851,275,256,873,307.336456298828,222.046722412109
30,612,324,529,474,844,77,361,817,253,410.781036376953,166.875915527344
